Review,Product
Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads.,Kindle    
This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,Ebook Reader    
I use this every day on my commute. Great battery life  no backlight but very readable with normal lighting. I like the built in dictionary.,Unknown    
Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience.,Kindle Books    
I never used kindle before. My wife gifted me on my birthday. This is the amazing product.,Kindle
I bought this with paper white and didn 't see much of a difference in terms of resolution and use. I totally recommend this reader as it 's so small and powerful!..,Unknown    
The kindle has come in very handy lately  I always have a book to read and this is great to just grab on the go. Battery life is great  only drawback is no backlight..,Kindle
I am loving my new Kindle! I have wanted one for a while and finally bought one  and even though it was the cheapest one  it has exceeded my expectations. I love how there is no glare..,Kindle
This is a great way to read books on the go. There's no backlight  so reading in darker rooms may be hard. But it's affordable and portable and a great way to take all your books with you.,E-reader
I bought this for my daughter. It is our 4th Kindle bought within the family. The touchscreen is great and my daughter loves it.,Unknown    
This is a pretty cool little device. Im able to download books through wireless and read them later at my convenience. Only drawback is I wish it had more storage.,Device 
As always  great job! Very easy to use and it's always with me. Only problem I have is the button on the bottom is touchy  but not really an issue. Keep up the good work.,Unknown    
I have the spot  dot and two shows  I started out with the spot and loved it so much I wanted a bigger one. This was a (Best Buy) ! No pun intended lol..,Unknown    
information on weather  updates on music  events. Fun questions answered while working in kitchen. Good sound for a limited areaGreat sales assistance at Best Buy.,Best Buy 
Love all my Echo products and this one is exceptional as well. Was able to look in my house while away. Waiting for more update for access to apps in the future.,Echo
It's at its heart an echo  but having a screen on it  with 1000s of things to do with it make it a much easier recommendation over the simarly priced screenless echo plus...,Unknown    
I was using the original Echo seldomly. Then I decided to get the Show..,Unknown    
My dad uses this as a speaker for the tv ...,Speaker for TV 
Along with fire TV  a prime membership  an amazon music subscription  other home automation devices and the Alexa app on the phone this system is very functional...,Alexa App 
It 's Alexa  but it has a screen  and it sounds pretty decent for a countertop device. My wife loves having it in the kitchen for recipes  weather music and fun!..,Alexa with a Screen 
Not going to lie - we haven 't even opened it yet. Planning on getting it all setup tomorrow night. I did see it at the store though & it was incredible.,Unknown 
I recently purchased the Amazon show. It was easy to setup and use and I also added my own specialty screens and home screen. Extremely glad I bought it.,Amazon Show
I have the echo and a dot. This is great for video calling and intercom calling in the house. Use it every day.,Echo and Dot
The Amazon Echo Show is a great addition to any connected home. Allows me to link Phillips Hue and Nest systems to control with voice. Great display and available information is awesome.,Amazon Echo Show
I bought the white version and have it in the kitchen. I use it for EVERYTHING  music  video  phone  security cams  news  weather. It's the perfect kitchen assistant.,Kitchen assistant
If you like the Amazon Echo or the echo Dot you will love this for me the best part is when you make list or listen to music it puts the words on the screen for you...,Amazon Echo/Echo Dot
I like the video feature for my doorbell. Wish it automatically showed a picture when door bell rung. Does not FaceTime.,Doorbell
I am starting my smart home and this was an addition to what we had already which was the dot and echo. This is simple to set up and the kids can even control it!!..,Smart Home
I 've had Amazon Alexa since she first hit the streets over two years ago and Echo Show is awesome! It can do so much more than Alexa and Echo Dot! You will love it!...,Amazon Alexa Echo Show
It was a bit more involved getting set up but thereafter the function is simply talking to Alexia. The plug adapter to turn on and off lights TV is useful and certainly worth having..,Plug Adapter
It's a lot of fun. To fully enjoy it  we had to get Amazon music unlimited. We bought four of them  so we can keep in touch with family.,Amazon music unlimited
"I love how I can see my grandkids. I also bought my kids one so they can just ""Drop In"" and I can see them. It also shows words to some songs to sing along.",Drop In
Works great! Now if my dogs would actually answer when I call it would be even better! They 're just not interested but at least I can see what they 're doing...,Pet Tracking Device 
Used in my home office  gives me all of the information I ask for while my computers are doing other chores. Plays any music that I request  decent quality sound..,Home Office Device
Bought this for a Christmas gift  so haven't actually seen this in action yet. Checked other reviews and they were good  and Best Buy had an awesome Black Friday price..,Unknown    
Fun and easy to use. Music sounds great. Set timers  reminders and sync your calendar.,Unknown    
My daughter bought a show so my 10 year old grandson could get in touch with her when he got home from school so I bought one so he could call us and we can see each other. We love it..,Smartphone 
We purchased the Amazon - Echo Show with Alexa in store. Took it home and after connection wi-fi it was great. we cannot wait to buy light bulbs and a thermostat.,Amazon - Echo Show with Alexa
I wasn't sure what to expect from my echo show  but I am super happy that I bought it. Alexa is great. She tells me the weather  traffic  news updates and more each day.,Echo Show
I love the echo show. It is a personal assistant  DJ  weatherman & news person all in one. This is our second Show.,Echo Show
The echo show works great for home automation. Being able to see your security cameras or drop in on your home through the echos camera are great features..,Echo Show 
Was recommended to me  and we love it  use for music  timer in the kitchen  great recipes  and love the question of the day  only have had for 2 weeks can 't wait to explore more!...,Unknown    
The screen really does add tremendous value. The bugs are almost all worked out and the quality of hearing my commands is night and day from a month ago..,Unknown    
We really enjoy the Echo Show! I have the Echo in the living room & the Echo Show in the bedroom. It 's great to have the visual of all the requests for Alexa..,Echo Show
Purchased for my 87 year old mother as a safety/convenience  entertainment device. She loves it! finds it easy to use  loves to have music throughout the house..,Safety/Convenience Device 
I bought these as a gift for my adult kids to video chat while in college. The second best feature was YouTube. Amazon just sell google home and chromcast for goodness sakes!.,Unknown    
Easy set up  simple to use  and lots of fun! Alexa can tell you the weather forecast  play any music you 'd like to hear  read you recipes and so much more! Great product...,Unknown    
Alexa does a lot of fun things but you must enable various apps. She gives funny answers to funny question. However  she is not a complete internet surfer  many things she has no answer.,Alexa
Using it in my kitchen. The whole family has access and we can all use different functionality. Great for looking up recipies  music and calling relatives or friends.,Unknown    
Easy setup for connections to wi-fi cameras  Amazon Digital Subscriptions and coming soon...,Wi-Fi Cameras  Amazon Digital Subscriptions
Amazing how much stuff this can do everything from a alarm clock to listening to music asking questions and controlling devices .the sound front the speakers is really great..,Alarm Clock 
Recently divorced I bought 2 of these tonserve as homebase for me and my 8 year old. It has helped him to know there is one spot in both our houses he can reach me by simply saying drop on daddy..,Unknown    
We really are enjoying asking Alexa questions and she is connected to our Sonos system playing music around the house. She doesn 't always understand me. Not sure if it is her or me.,Alexa
The best part about the echo is that you can actually use it to watch videos  the security cameras connected to your house  listen to music and watch the baby sleep. I love my Echo Show..,Echo Show 
I love to use Alexa to listen to music  set timer alarms and ect. My parents use the show to show the cameras and stuff for a second control panel to their security system..,Alexa & Amazon Show
Love the Alexa A.I. Better than apple and google versions.,Alexa A.I.
This is great. The entire family is using it. Son 's are using it for it music  husband for appointments  me for just about everything.,Unspecified 
What a neat gadget. I thought I loved my echo dot n this is so much more. I like that u can video chat with other people who own it also.,Echo Dot
