step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,800,32,1.4759619304777896,0,0,1.2506791237893062,0,0
2,1344,64,1.886212238670828,0,0,-1,-1,-1
3,2144,96,0.7493511234131954,0,0.203125,-1,-1,-1
4,2688,128,0.8387138064417741,0,0.28125,-1,-1,-1
5,3232,160,0.48035946046657046,0.5625,0.78125,-1,-1,-1
6,3776,192,0.40817730605413094,0.40625,0.6875,-1,-1,-1
7,4320,224,0.31603221818886595,0.6875,0.78125,-1,-1,-1
8,5120,256,0.22913646163824522,0.59375,0.796875,-1,-1,-1
9,5920,288,0.17038917142637425,0.8125,0.90625,0.20919111393986894,0.6875,0.84375
10,6720,320,0.14576253265690867,0.71875,0.859375,-1,-1,-1
11,7520,352,0.15475308840102953,0.59375,0.796875,-1,-1,-1
12,8064,384,0.2102610596932351,0.65625,0.828125,-1,-1,-1
13,8864,416,0.12839223225784813,0.84375,0.921875,-1,-1,-1
14,9408,448,0.1648698809135681,0.90625,0.953125,-1,-1,-1
15,9952,480,0.1662085252763063,0.875,0.9375,-1,-1,-1
16,10752,512,0.12874577038090443,0.90625,0.953125,-1,-1,-1
17,11552,544,0.11266318722632225,0.9375,0.96875,0.20600409456801855,0.40625,0.703125
18,12096,576,0.19321573210782503,0.5625,0.78125,-1,-1,-1
19,12640,608,0.15964785884884525,0.9375,0.96875,-1,-1,-1
20,13440,640,0.12932432655166792,0.78125,0.890625,-1,-1,-1
21,14240,672,0.10984653782359904,0.96875,0.984375,-1,-1,-1
22,14784,704,0.1650710970106445,0.78125,0.890625,-1,-1,-1
23,15584,736,0.15523853752693148,0.65625,0.828125,-1,-1,-1
24,16128,768,0.14191754347930471,1,1,-1,-1,-1
25,16672,800,0.1460289342036731,0.84375,0.921875,0.13961050106567396,0.875,0.9375
26,17472,832,0.11199572149112812,0.875,0.9375,-1,-1,-1
27,18016,864,0.13490938152960583,0.90625,0.953125,-1,-1,-1
28,18560,896,0.1546494080591515,0.84375,0.921875,-1,-1,-1
29,19360,928,0.09965879111721469,0.84375,0.921875,-1,-1,-1
30,20160,960,0.09831098807965048,0.90625,0.953125,-1,-1,-1
31,20704,992,0.1496183948613144,0.90625,0.953125,-1,-1,-1
32,21248,1024,0.1356026237169587,0.96875,0.984375,-1,-1,-1
33,22048,1056,0.09676138954014087,1,1,0.10464730161489229,0.875,0.9375
34,22848,1088,0.08574129359771708,0.9375,0.96875,-1,-1,-1
35,23648,1120,0.09891695447590082,0.84375,0.921875,-1,-1,-1
36,24192,1152,0.1290371598483951,1,1,-1,-1,-1
37,24992,1184,0.09052509688502398,0.9375,0.96875,-1,-1,-1
38,25536,1216,0.11898655788143983,1,1,-1,-1,-1
39,26336,1248,0.08395522292726365,0.96875,0.984375,-1,-1,-1
40,27136,1280,0.0865155391911633,0.9375,0.96875,-1,-1,-1
41,27680,1312,0.12112922627814272,0.96875,0.984375,0.09913607586560194,0.875,0.9375
42,28480,1344,0.10109418158714477,0.90625,0.953125,-1,-1,-1
43,29024,1376,0.12775958229369203,0.96875,0.984375,-1,-1,-1
44,29824,1408,0.08152777055149157,0.96875,0.984375,-1,-1,-1
45,30368,1440,0.11867105512353932,0.96875,0.984375,-1,-1,-1
46,30912,1472,0.10815595992923085,0.90625,0.953125,-1,-1,-1
47,31712,1504,0.08582849513886188,0.96875,0.984375,-1,-1,-1
48,32512,1536,0.08615793559177524,0.9375,0.96875,-1,-1,-1
49,33056,1568,0.11143194617129949,1,1,0.13671840304267563,0.875,0.9375
50,33856,1600,0.07601058935780429,1,1,-1,-1,-1
51,34656,1632,0.0683455935429516,0.96875,0.984375,-1,-1,-1
52,35456,1664,0.08237641373725378,0.96875,0.984375,-1,-1,-1
53,36256,1696,0.08104677764904339,1,1,-1,-1,-1
54,37056,1728,0.08499242053212204,0.9375,0.96875,-1,-1,-1
55,37600,1760,0.10727217337770867,0.9375,0.96875,-1,-1,-1
56,38144,1792,0.12128214927210801,0.90625,0.953125,-1,-1,-1
57,38944,1824,0.0701042224955072,1,1,0.1275085810250971,0.9375,0.96875
58,39488,1856,0.12728109771974694,0.90625,0.953125,-1,-1,-1
59,40032,1888,0.11489673645485113,1,1,-1,-1,-1
60,40576,1920,0.1140618564997581,0.9375,0.96875,-1,-1,-1
61,41376,1952,0.07357670367399602,1,1,-1,-1,-1
62,41920,1984,0.10996522512561384,0.9375,0.96875,-1,-1,-1
